"age_bracket","value"
"25-34 yr",39.7466644260366
"35-44 yr",39.5150224110172
"25-34 yr",39.5288120193874
"35-44 yr",24.1016031308499
"18-24 yr",27.1986616845785
"25-34 yr",50.6992585071076
"25-34 yr",37.2411896578941
"25-34 yr",40.1804024425569
"25-34 yr",38.318969030625
"18-24 yr",25.9608706909725
"18-24 yr",16.9497127288729
"25-34 yr",46.1292402439704
"18-24 yr",21.0321540827761
"35-44 yr",35.04967300187
"12-17 yr",30.9192459843333
"25-34 yr",39.9096202361838
"35-44 yr",28.0548537748255
"25-34 yr",43.8945991562731
"45+ yr",17.3544563402791
"35-44 yr",29.8259825241935
"35-44 yr",40.5338578648271
"35-44 yr",25.4584261014374
"18-24 yr",16.4726346291111
"25-34 yr",34.4805557990085
"18-24 yr",20.7333636335027
"12-17 yr",28.8221602805719
"35-44 yr",34.8928990645802
"18-24 yr",19.3245047264709
"45+ yr",11.8420792268437
"35-44 yr",36.8421875470602
"12-17 yr",25.6235360101254
"45+ yr",16.1682983503561
"18-24 yr",32.0768820908191
"12-17 yr",29.6607993179264
"25-34 yr",38.9115391494112
"45+ yr",21.6668777499464
"25-34 yr",47.8601462067407
"25-34 yr",37.2705605779746
"25-34 yr",38.7633021951175
"18-24 yr",30.6860738047303
"25-34 yr",41.1529949968252
"25-34 yr",44.8462906066045
"25-34 yr",42.8272261056041
"25-34 yr",41.1300723678008
"18-24 yr",19.1395736903545
"25-34 yr",28.5596299961865
"12-17 yr",22.9278007382806
"35-44 yr",35.1263766143122
"12-17 yr",33.7174688942083
"18-24 yr",22.9494566343944
"18-24 yr",27.0236349913865
"25-34 yr",43.3877556677916
"25-34 yr",37.2649385657649
"25-34 yr",34.7537829683195
"12-17 yr",12.4341667127674
"45+ yr",6.97243355781462
"25-34 yr",39.8568398688268
"35-44 yr",24.5836703273348
"18-24 yr",16.541773400182
"45+ yr",11.5696082835416
"35-44 yr",23.5908461985107
"25-34 yr",43.4138426935796
"18-24 yr",27.648889293797
"25-34 yr",44.2212702905648
"25-34 yr",38.2895104668905
"35-44 yr",34.4521222915401
"18-24 yr",18.8183434107571
"18-24 yr",30.4351783992549
"18-24 yr",17.912194742882
"25-34 yr",35.6411924811534
"12-17 yr",20.8817774056691
"25-34 yr",32.0833445826231
"25-34 yr",39.5307238576247
"18-24 yr",17.3733563746848
"18-24 yr",26.1154050957824
"25-34 yr",27.8671481290189
"25-34 yr",42.9573403137064
"25-34 yr",49.1873199534306
"12-17 yr",16.2883296741249
"18-24 yr",21.9833101963422
"25-34 yr",42.0121910279531
"25-34 yr",43.941648625775
"25-34 yr",39.4729991050529
"25-34 yr",37.568281653711
"18-24 yr",20.8646938735051
"25-34 yr",41.5617317302291
"35-44 yr",36.2473784906954
"35-44 yr",36.4718705562503
"18-24 yr",29.6785033686729
"45+ yr",18.3392109554656
"25-34 yr",32.6854970640399
"18-24 yr",21.3490735227583
"25-34 yr",36.6303156782823
"35-44 yr",34.5226051814514
"25-34 yr",39.5512647330039
"25-34 yr",38.447052832006
"35-44 yr",29.0211417095794
"45+ yr",26.1732981337508
"35-44 yr",24.8315917811591
"25-34 yr",46.3122899756684
"35-44 yr",30.6792417590726
"35-44 yr",32.2651429062091
"25-34 yr",42.0617490340753
"45+ yr",22.4094205624517
"25-34 yr",41.8488505263539
"35-44 yr",29.275576106193
"25-34 yr",49.0778489654179
"25-34 yr",41.5347787346307
"18-24 yr",26.0308648153446
"18-24 yr",32.5152117371538
"35-44 yr",28.4358360779875
"25-34 yr",34.525643501617
"45+ yr",18.0760019858427
"25-34 yr",30.1973118749214
"25-34 yr",42.9250635712643
"35-44 yr",29.6162097991473
"18-24 yr",34.7912544412852
"35-44 yr",40.9083417592137
"25-34 yr",37.8014404622952
"12-17 yr",18.8298025648761
"35-44 yr",28.7653117760225
"35-44 yr",30.7573503097485
"18-24 yr",22.7195436042813
"25-34 yr",40.7929264686301
"25-34 yr",37.7034592382319
"35-44 yr",25.8496026110992
"35-44 yr",21.7312092105633
"35-44 yr",30.3313990977939
"25-34 yr",39.6497941076444
"25-34 yr",49.3411974568473
"45+ yr",18.3614079837165
"12-17 yr",11.5514797919875
"25-34 yr",33.8717896007318
"18-24 yr",26.8644159019108
"35-44 yr",27.649418630514
"45+ yr",16.5682007911774
"45+ yr",19.4803140567839
"25-34 yr",33.2217686486894
"18-24 yr",20.4874378642851
"25-34 yr",37.8389170746989
"45+ yr",22.8347796998709
"35-44 yr",24.5960819913361
"35-44 yr",27.3780553538949
"12-17 yr",26.8793436808442
"18-24 yr",27.0085090512014
"12-17 yr",19.553450583486
"35-44 yr",26.2696020885698
"18-24 yr",27.5365662557314
"35-44 yr",25.6740099752046
"45+ yr",22.8254928801206
"45+ yr",21.9684946364294
"25-34 yr",41.2044571364621
"35-44 yr",39.1926367431998
"35-44 yr",33.2880828674264
"25-34 yr",41.8788096611212
"45+ yr",20.7781804807317
"18-24 yr",26.093966802804
"25-34 yr",44.1808826424572
"18-24 yr",26.9547769992792
"18-24 yr",23.9025742049718
"45+ yr",23.1501910801743
"45+ yr",16.9262676543848
"35-44 yr",26.0578346830253
"25-34 yr",38.3908625853156
"25-34 yr",37.6912137669659
"35-44 yr",29.3126001977174
"18-24 yr",20.1974196772605
"35-44 yr",26.2182887590347
"35-44 yr",23.0319430864738
"45+ yr",22.6607036936645
"25-34 yr",33.6581189750565
"35-44 yr",36.8057081152142
"35-44 yr",22.4961370494828
"18-24 yr",23.4247993772358
"35-44 yr",28.0690655473969
"18-24 yr",21.6878858478932
"45+ yr",17.0074241481838
"25-34 yr",32.9043769058116
"12-17 yr",17.5596711350546
"18-24 yr",28.0488512120404
"25-34 yr",39.2183242619039
"35-44 yr",36.0529689209192
"18-24 yr",23.1645619309935
"18-24 yr",24.0012029263837
"35-44 yr",40.0049785974447
"25-34 yr",32.6867570428517
"25-34 yr",49.3211127046999
"18-24 yr",21.8370556561853
"18-24 yr",24.742391773741
"25-34 yr",39.6647519799439
"25-34 yr",38.1810555275365
"35-44 yr",38.8753962176917
"35-44 yr",32.8478034616377
"35-44 yr",28.9649206228679
"35-44 yr",28.4109833963768
"25-34 yr",39.1135910223502
"35-44 yr",33.4822149465763
"12-17 yr",19.9336847184206
"25-34 yr",39.2571540646459
"25-34 yr",38.6127264209047
"25-34 yr",46.8287805636861
"35-44 yr",29.2366563887993
"12-17 yr",15.1016037913573
"25-34 yr",36.632600938682
"25-34 yr",34.4474632306507
"25-34 yr",41.979049844427
"18-24 yr",23.0969884723443
"35-44 yr",25.8699416597222
"35-44 yr",31.4936686739911
"12-17 yr",22.7548712208099
"12-17 yr",12.6962356340319
"25-34 yr",43.1272199297014
"25-34 yr",39.646595161805
"25-34 yr",50.7742210994317
"25-34 yr",35.1669075822466
"18-24 yr",21.7299050867792
"25-34 yr",37.1587754628033
"18-24 yr",21.5465173917929
"18-24 yr",37.4207826230193
"25-34 yr",35.8915389538069
"25-34 yr",42.2622326357702
"25-34 yr",38.1962704534323
"35-44 yr",27.3648411156296
"45+ yr",20.792085117206
"25-34 yr",33.2732670421641
"35-44 yr",27.277850663594
"18-24 yr",22.8267250077283
"35-44 yr",31.990613952847
"18-24 yr",21.356458655593
"35-44 yr",22.9181682152682
"35-44 yr",36.1192660896491
"25-34 yr",42.9178521264302
"12-17 yr",24.0270187964757
"25-34 yr",44.2394030572064
"25-34 yr",42.5215830079784
"18-24 yr",24.6083076207696
"18-24 yr",22.4917625547561
"45+ yr",16.8644298546451
"25-34 yr",49.0502749934214
