"horizontal"	"vertical"
-1.2151	-1.0632
-0.0732	-0.111
0.5972	0.8103
0.9327	0.8224
-1.4935	-1.4207
-1.2384	-1.7537
1.925	1.3677
-0.7452	-0.5229
-1.2896	-0.6594
-1.304	-1.2448
-1.7942	-1.4836
1.4095	0.3465
1.6591	0.3898
-1.5228	-0.1451
-0.5826	-1.0423
0.2973	0.9761
1.4841	0.455
-1.1882	-1.6339
-1.4233	-1.1116
0.4572	2.1338
-1.7174	-1.0687
1.302	0.4864
0.7828	1.2378
-1.3375	-1.1543
0.582	0.9135
0.8052	0.9315
-0.3198	-1.1932
0.44	-1.4218
-0.1495	-0.1636
0.9813	0.2854
1.448	0.2617
-0.2532	-0.7744
-0.8008	-0.7729
0.3916	1.1001
1.1472	0.4845
-0.7402	-1.011
0.6876	1.0415
-0.6627	-0.3273
1.2453	0.954
1.0805	2.0718
0.7798	1.1779
-0.9425	-0.5596
-0.5699	-0.4208
-0.7781	-0.4176
-0.9294	-0.7511
0.0288	0.0044
-0.9269	-1.4099
-0.599	-0.3592
-0.38	-2.1892
-1.4213	-1.1753
-1.3113	-1.1028
1.0616	0.9673
0.8189	0.7699
-1.1288	-0.7551
-0.5332	-0.832
-1.1177	-0.7023
-0.9617	-0.5058
-0.9307	-1.7184
-0.0067	-1.3719
-0.8816	-0.5859
0.6455	1.673
1.0149	2.1625
-1.0847	-0.9281
1.2297	0.9713
0.4916	-0.2178
0.6575	0.4911
-0.9809	-1.1677
1.542	-0.544
-0.274	-1.7792
-1.6866	-0.735
-1.0893	-1.2521
0.7039	2.0462
0.3572	0.9394
1.0359	1.0455
-1.2274	-0.9019
1.3346	0.769
0.8478	1.1609
-0.8233	-1.2836
0.8267	1.2508
1.5546	0.633
0.8897	1.2128
-0.5164	-0.411
-1.3851	-1.2162
-0.7135	-0.3467
-0.5431	-0.5722
1.2606	1.0861
1.3082	0.4783
-1.233	-0.6774
0.2582	0.5181
-0.4845	0.2437
1.1682	0.5054
-0.7552	-1.3325
-0.2824	0.3277
-0.5465	-0.4409
-1.4159	-0.7723
-0.7434	-0.433
-1.4718	-0.311
1.0843	1.0444
1.4635	-0.2163
-0.1558	-0.9973
